"Name","Relative Likelihood"
"CATHERINE",3
"CHAMA",3
"CHEELO",3
"CHENJELANI",3
"CHIBWE",3
"CHIFITA",3
"CHILELEKO",3
"CHILESHE",3
"CHILUFYA",3
"CHIMUKA",3
"CHIPO",3
"CHISONI",3
"CHISUMPA",3
"CHITI",3
"CHONGO",3
"CLEOPHAS",3
"CLIFF",3
"CLIFFORD",3
"COISON",3
"COSMUS",3
"COSTERN",3
"CYPRIANO",3
"DABWISO",3
"DABWITSO",3
"DAMASEKE",3
"DARLINGTON",3
"DAVIDE",3
"DICK",3
"DILLAN",3
"DON",3
"DOUGLUS",3
"DUMISANI",3
"EDDIE",3
"EDWINE",3
"ELASTO",3
"ELIAM",3
"ELIJA",3
"ELISHA",3
"ELVIN",3
"EMENT",3
"ENEST",3
"ENOS",3
"ERICO",3
"EUSTAS",3
"FABIAN",3
"FASHION",3
"FEBIAN",3
"FESTON",3
"FEWDAYS",3
"FINESS",3
"FOSTER",3
"FRACKSON",3
"FRANCISCO",3
"FRANCK",3
"FRANCO",3
"FRAZIER",3
"FREDERICK",3
"FRIDAH",3
"GERSHOM",3
"GIDION",3
"GODDFREY",3
"GODWELL",3
"GREY",3
"HARRINGTON",3
"HECTOR",3
"HENDRICK",3
"HEZRON",3
"HONEST",3
"IFORCE",3
"IMASIKU",3
"IRVIN",3
"IWELO",3
"JAMESON",3
"JASIEL",3
"JASPER",3
"JEAN",3
"JEFF",3
"JEFFY",3
"JENNIPHER",3
"JEREMIA",3
"JUSTINA",3
"JUSTO",3
"KAMBANI",3
"KATEMA",3
"KATONGO",3
"KAUNDA",3
"KAWAMA",3
"KAWELA",3
"KEITH",3
"KELISON",3
"KENEDY",3
"KINGS",3
"KINGSTONE",3
"KINWELL",3
"KOMANI",3
"KONDWANI",3
"KUMBUKANI",3
"KUNDA",3
"LABANI",3
"LAICHANI",3
"LANGFORD",3
"LARRY",3
"LASTONE",3
"LAURENCE",3
"LAYSON",3
"LEDSON",3
"LEE",3
"LEMEKANI",3
"LEO",3
"LEVYSON",3
"LIGHT",3
"LIKANDO",3
"LIMITED",3
"LONTIA",3
"LUCAS",3
"LUFEYO",3
"LUKE",3
"LUSHOMO",3
"LUTANGU",3
"LYDIA",3
"LYTON",3
"MAFUTA",3
"MALILO",3
"MANDA",3
"MANGANI",3
"MAPALO",3
"MARSHAL",3
"MATAKALA",3
"MATTEWS",3
"MAURICE",3
"MAYABA",3
"MEDSON",3
"MEKELANI",3
"MICAH",3
"MICHELO",3
"MICKSON",3
"MILIMO",3
"MILOMO",3
"MOONGA",3
"MORTON",3
"MULUBE",3
"MUNDIA",3
"MUSA",3
"MUYUNDA",3
"MWANGALA",3
"MWAPE",3
"MWESHI",3
"MWIYA",3
"MWIZA",3
"NAMAKANDO",3
"NAMUSHI",3
"NAVY",3
"NEPHAS",3
"NEPHIAS",3
"NERVIS",3
"NICOLAS",3
"NJEKWA",3
"NKOLE",3
"NOBLE",3
"NOEL",3
"NSANGU",3
"OBETTY",3
"OBRIAN",3
"OKAY",3
"ONIAS",3
"OSMAN",3
"OSTEN",3
"OSWELL",3
"PASCAL",3
"PASSMORE",3
"PESULANI",3
"PETROL",3
"PHARAOH",3
"PHENIAS",3
"PHINIAS",3
"PHIRI",3
"PIUS",3
"POLYCARP",3
"PRAISE",3
"PRICE",3
"RAY",3
"REGIS",3
"RODGER",3
"ROSEMARY",3
"SAFELI",3
"SAMALANI",3
"SAVIOUR",3
"SCOUT",3
"SEVERIANO",3
"SHADREK",3
"SHOES",3
"SIKOTA",3
"SILILO",3
"SILIYA",3
"SKEVA",3
"SOFT",3
