"Place","District(s)","Pop (cutoff 10k)"
"CHEMBI",4,
"CHENDAMAKALA",45,
"CHENDUNANSEHE",18,
"CHENGA",42,
"CHENGAUWA",17,
"CHENGIRANI",24,
"CHENGO",27,
"CHENYEKA",67,
"CHEPALEZA",5,
"CHERA",5,
"CHESEKO",54,
"CHESENGA KASOMA",6,
"CHESO",24,
"CHESSIA",18,
"CHESUMPA",6,
"CHEWE",26,
"CHEWE KANIKI",42,
"CHEYA",12,
"CHIABA",13,
"CHIABI",65,
"CHIAKWETE",21,
"CHIAMBO",38,
"CHIANGA",42,
"CHIASA",71,
"CHIASI",37,
"CHIAWA",33,
"CHIAWA MATAKA",32,
"CHIBALE",6,
"CHIBAMBO",67,
"CHIBAMBOMA",58,
"CHIBANDA",54,
"CHIBANDA MUKOPA",3,
"CHIBANGE",67,
"CHIBAYE",29,
"CHIBEKA",40,
"CHIBELA",20,
"CHIBENDA",63,
"CHIBENDE","6;67",
"CHIBENGA",56,
"CHIBESA",43,
"CHIBESAKUNDA",37,
"CHIBEYA",71,
"CHIBILA",59,
"CHIBILE",4,
"CHIBISA",19,
"CHIBIYA",71,
"CHIBIYO",21,
"CHIBIZA",18,
"CHIBOBOMA",56,
"CHIBOLEKA",43,
"CHIBOMA",19,
"CHIBOMBE",53,
"CHIBOMBO",1,
"CHIBOMBOMA",5,
"CHIBONA","19;72",
"CHIBONDA","18;71",
"CHIBONDO",29,
"CHIBONDU",1,
"CHIBOSHA",71,
"CHIBOTE","10;26",
"CHIBOWA",22,
"CHIBOWO",46,
"CHIBUBU",5,
"CHIBULI",40,
"CHIBULUMA",9,
"CHIBUMBU","5;68",
"CHIBUNDA",18,
"CHIBUNDI","1;3",
"CHIBUNDULA",67,
"CHIBUNGO",6,
"CHIBUNGU",13,
"CHIBUNZE",63,
"CHIBUNZI",63,
"CHIBUTU",5,
"CHIBUTUBUTU",40,
"CHIBUWBU",5,
"CHIBUYE CHIKWATE",6,
"CHIBUYE KASHISHI",6,
"CHIBUYE KOFI",6,
"CHIBUYE LISANDI",6,
"CHIBUYE MACHILA",6,
"CHIBUYE MALI",6,
"CHIBUYE MWANDO",6,
"CHIBUYE ROBERT",6,
"CHIBUYE SAIDI",6,
"CHIBWAULU",57,
"CHIBWE SCHOOL",55,
"CHIBWECHAMA",41,
"CHIBWETI",54,
"CHIBWEYA",24,
"CHIBWIKA",52,
"CHIBWITI",54,
"CHICAWNACONTA",1,
"CHICHILI",60,
"CHIDAKWA",63,
"CHIDIAMERO",21,
"CHIDOLO",38,
"CHIDONGO",21,
"CHIDUKA",19,
"CHIDULI",19,
"CHIDULIKA",38,
"CHIDUMAYO",21,
"CHIEF NKANA",12,
"CHIEF SHIMBIZI",57,
"CHIELULA",66,
"CHIENG",25,
"CHIENGA",71,
"CHIENGE",25,
"CHIENGI",25,
"CHIENGO",54,
"CHIESU",54,
"CHIFAKI",19,
"CHIFI",69,
"CHIFITA",3,
"CHIFITA JONI",3,
"CHIFOFMA",37,
"CHIFOMSO",19,
"CHIFOSA KIYOBA",58,
"CHIFUBU",16,
"CHIFUBWA",53,
"CHIFULA",47,
"CHIFUMBULA",37,
"CHIFUMPO",39,
"CHIFUNDA",18,
"CHIFUNDO",1,
"CHIFUNDUFWE",18,
"CHIFUNGO",45,
"CHIFUNGULA",32,
"CHIFUNGWE",38,
"CHIFUNSA",37,
"CHIFUTALA",24,
"CHIFUTWILO",6,
"CHIFWALA",40,
"CHIFWALO",28,
"CHIFWANAKENE",53,
"CHIFWEMBA",8,
"CHIFWEPA",55,
"CHIFWISHA",48,
"CHIFWOKESHO",1,
"CHIFYANKA",43,
"CHIGALI","58;59",
"CHIGANGENI",19,
"CHIGAWA",17,
"CHIGO",57,
"CHIGONA",21,
