Name,Relative Likelihood
MALISAWA,3
MALO,3
MANDENGA,3
MANDOLO,3
MANGABA,3
MANJIMELA,3
MANYEPA,3
MANYIMA,3
MAPENDO,3
MASAKA,3
MASEMPELA,3
MASUSU,3
MATAKALA,3
MATEBELE,3
MATEPETA,3
MATYOLA,3
MAYAMBU,3
MAZALA,3
MAZILA,3
MAZYAMBE,3
MBOBELA,3
MBOYONGA,3
MBOZI,3
MFUNE,3
MIKOSA,3
MILANDU,3
MMEMBE,3
MOONZE,3
MPINGA,3
MPOFU,3
MUFANA,3
MUFWABI,3
MUFWAFWI,3
MUGWAGWA,3
MUHANGO,3
MUHONGO,3
MUKANDO,3
MUKANZO,3
MUKOBE,3
MULALIKA,3
MULAVU,3
MULEMBE,3
MULENDEMA,3
MULILA,3
MULINDA,3
MULINDE,3
MULINGA,3
MULONGA,3
MULUBE,3
MULUMBILA,3
MULUNGU,3
MUNDA,3
MUNGAILA,3
MUNKWENDELA,3
MUNSHA,3
MUNSHYA,3
MUNYAKA,3
MUNYAMA,3
MUNYONZWE,3
MUSEMUNA,3
MUSENGE,3
MUSIMUKO,3
MUSUNE,3
MUTAMBWA,3
MUTANDE,3
MUTELO,3
MUTENGO,3
MUTETO,3
MUTIMA,3
MUTUMBA,3
MUYANGWA,3
MUYANI,3
MUYUNI,3
MUZEYA,3
MWACHINDALO,3
MWAKA,3
MWAKOI,3
MWAMBULA,3
MWANANUKU,3
MWANDENGA,3
MWANDILA,3
MWANJA,3
MWAYANGUBA,3
MWAZIMA,3
MWELUMUKA,3
MWENE,3
MWENGE,3
MWETWA,3
MWILU,3
MWITUMWA,3
NACHALWE,3
NACHANDWE,3
NACHILIMA,3
NAMBEKWA,3
NAMPUNGWE,3
NAMUKOKO,3
NAYAME,3
NDULUMINA,3
NEDZIWE,3
NGENDA,3
NKAMBA,3
NKANDELA,3
NKATA,3
NKHWAZI,3
NKOMA,3
NKWETO,3
NTANGA,3
NTHANI,3
NYAKAPANDA,3
NYOKA,3
NYUMAYO,3
NYUNDO,3
PALATEMA,3
PHILIP,3
SAIDI,3
SAINA,3
SALIMU,3
SARENJE,3
SATOME,3
SAUTI,3
SHABO,3
SHAKABO,3
SHAYAWA,3
SHILYANGA,3
SHIMPANDE,3
SHINDANO,3
SIAKALOBA,3
SIBAJENE,3
SIBANZE,3
SICHOMBOLWA,3
SIKABALI,3
SIKABELENGA,3
SIKAONGA,3
SIKOMBE,3
SIKUMBA,3
SIKWALE,3
SILUBINDA,3
SILUYA,3
SIMBEYA,3
SIMUKOKO,3
SIMUNZA,3
SIMUYEMBA,3
SIMWABA,3
SIMWEENE,3
SINGANDU,3
SITAMBI,3
SITWALA,3
SIWAKWI,3
SIWALE,3
SOKOLOKO,3
SULULU,3
TOMBOKA,3
TWAMBO,3
WAMUNDILA,3
WOOD,3
YAMBA,3
YASINI,3
YUMBA,3
ZIBA,3
ZINDOGA,3
ZONDO,3
AJUSA,2
ALISHEKE,2
AMANZI,2
BBUMA,2
